方法,检零件1,检零件2,检成品,处理方式,期望成本,期望利润,市场次品率,利润标准差,情境,归一化_利润,归一化_稳定性,归一化_声誉,得分_激进增长型,得分_稳健品牌型
M13,检,检,不检,退货拆解,46.937,9.063,0.200,2.400,2,1.000,0.200,0.590,0.758,0.596
M09,检,不检,不检,退货拆解,48.656,7.344,0.360,2.880,2,0.881,0.040,0.262,0.589,0.381
M15,检,检,检,厂内拆解,49.188,6.812,0.000,0.000,2,0.844,1.000,1.000,0.906,0.953
M11,检,不检,检,厂内拆解,49.969,6.031,0.000,0.000,2,0.789,1.000,1.000,0.874,0.937
M14,检,检,不检,退货报废,51.188,4.812,0.200,2.400,2,0.705,0.200,0.590,0.581,0.507
M05,不检,检,不检,退货拆解,51.703,4.297,0.360,2.880,2,0.669,0.040,0.262,0.462,0.317
M10,检,不检,不检,退货报废,52.594,3.406,0.360,2.880,2,0.607,0.040,0.262,0.425,0.299
M01,不检,不检,不检,退货拆解,52.797,3.203,0.488,2.999,2,0.593,0.000,0.000,0.356,0.178
M03,不检,不检,检,厂内拆解,52.937,3.063,0.000,0.000,2,0.583,1.000,1.000,0.750,0.875
M07,不检,检,检,厂内拆解,53.016,2.984,0.000,0.000,2,0.578,1.000,1.000,0.747,0.873
M16,检,检,检,厂内报废,53.438,2.562,0.000,0.000,2,0.548,1.000,1.000,0.729,0.864
M12,检,不检,检,厂内报废,53.906,2.094,0.000,0.000,2,0.516,1.000,1.000,0.709,0.855
M06,不检,检,不检,退货报废,60.016,-4.016,0.360,2.880,2,0.091,0.040,0.262,0.115,0.144
M02,不检,不检,不检,退货报废,60.406,-4.406,0.488,2.999,2,0.064,0.000,0.000,0.038,0.019
M04,不检,不检,检,厂内报废,60.547,-4.547,0.000,0.000,2,0.054,1.000,1.000,0.433,0.716
M08,不检,检,检,厂内报废,61.328,-5.328,0.000,0.000,2,0.000,1.000,1.000,0.400,0.700
